timeline_url,source_year,status,rows_extracted,error,timestamp
https://www.hackmageddon.com/2024/10/24/16-31-july-2024-cyber-attacks-timeline,2024,success,117,,2026-04-20T21:05:00.991717+00:00
https://www.hackmageddon.com/2024/11/13/1-15-august-2024-cyber-attacks-timeline,2024,success,126,,2026-04-20T21:05:06.057255+00:00
https://www.hackmageddon.com/2024/11/21/16-31-august-2024-cyber-attacks-timeline,2024,success,109,,2026-04-20T21:05:11.989940+00:00
https://www.hackmageddon.com/2024/11/26/august-2024-cyber-attacks-timeline,2024,no_valid_table,0,,2026-04-20T21:05:15.567210+00:00
https://www.hackmageddon.com/2024/12/05/1-15-september-2024-cyber-attacks-timeline,2024,success,128,,2026-04-20T21:05:21.729947+00:00
https://www.hackmageddon.com/2024/12/17/16-30-september-2024-cyber-attacks-timeline,2024,success,131,,2026-04-20T21:05:29.114186+00:00
https://www.hackmageddon.com/2025/01/07/1-15-october-2024-cyber-attacks-timeline,2025,success,121,,2026-04-20T21:05:36.101735+00:00
https://www.hackmageddon.com/2025/01/16/16-31-october-2024-cyber-attacks-timeline,2025,success,121,,2026-04-20T21:05:41.124937+00:00
https://www.hackmageddon.com/2025/02/06/1-15-november-2024-cyber-attacks-timeline,2025,success,129,,2026-04-20T21:05:47.142611+00:00
https://www.hackmageddon.com/2025/02/27/16-30-november-2024-cyber-attacks-timeline,2025,success,118,,2026-04-20T21:05:51.858438+00:00
https://www.hackmageddon.com/2025/04/04/1-15-december-2024-cyber-attacks-timeline,2025,success,116,,2026-04-20T21:05:57.195166+00:00
https://www.hackmageddon.com/2025/04/18/16-31-december-2024-cyber-attacks-timeline,2025,success,95,,2026-04-20T21:06:03.614916+00:00
https://www.hackmageddon.com/2025/05/06/1-15-january-2025-cyber-attacks-timeline,2025,success,110,,2026-04-20T21:06:08.878172+00:00
https://www.hackmageddon.com/2025/06/04/16-30-january-cyber-attacks-timeline,2025,success,108,,2026-04-20T21:06:13.744572+00:00
https://www.hackmageddon.com/2025/07/23/1-15-february-2025-cyber-attacks-timeline,2025,success,116,,2026-04-20T21:06:17.384868+00:00
https://www.hackmageddon.com/2025/08/05/16-28-february-2025-cyber-attacks-timeline,2025,success,117,,2026-04-20T21:06:22.276152+00:00
https://www.hackmageddon.com/2025/09/05/1-15-march-2025-cyber-attacks-timeline,2025,no_valid_table,0,,2026-04-20T21:06:29.195471+00:00
https://www.hackmageddon.com/2026/01/19/1-15-january-2026-cyber-attacks-timeline,2026,success,62,,2026-04-20T21:06:34.401815+00:00
https://www.hackmageddon.com/2026/02/03/16-31-january-2026-cyber-attacks-timeline,2026,success,74,,2026-04-20T21:06:39.103223+00:00
https://www.hackmageddon.com/2026/02/18/1-15-february-2026-cyber-attacks-timeline,2026,success,97,,2026-04-20T21:06:44.470099+00:00
https://www.hackmageddon.com/2026/03/06/16-28-february-2026-cyber-attacks-timeline,2026,success,81,,2026-04-20T21:06:50.023911+00:00
https://www.hackmageddon.com/2026/03/26/1-15-march-2026-cyber-attacks-timeline,2026,success,96,,2026-04-20T21:06:56.194369+00:00
https://www.hackmageddon.com/2026/04/14/16-31-march-2025-cyber-attacks-timeline,2026,success,125,,2026-04-20T21:07:01.923988+00:00
